ticker
ORCL
MSFT
TROW
HON
ADM
FISV
KO
CDNS
ED
XRAY
FAST
DTE
ETN
SIVB
XOM
MGM
WM
GD
GE
LH
NXPI
CHTR
LYB
GM
TT
FRC
FLT
TRGP
IBM
KMI
HCA
HII
MPC
XYL
APTV
EPAM
ENPH
PSX
META
NOW
PNR
FANG
PCG
ABBV
NCLH
ZTS
PEP
MO
IQV
COP
CDW
NWSA
NWS
AMGN
SLB
ALLE
HLT
CVX
GOOG
PAYC
AAPL
AMAT
ANET
CTLT
SYF
CZR
CFG
KEYS
MRO
VMC
SEDG
ETSY
KHC
PYPL
TXN
HPE
EIX
MTCH
FTV
LW
INVH
HSY
KR
IR
DD
CVS
GIS
VICI
SPGI
CDAY
WRB
KMB
RTX
KDP
LIN
PG
MRNA
SO
FOXA
FOX
DOW
CAT
CTVA
AMCR
CL
FMC
CARR
OTIS
DE
BMY
WBA
BA
IVZ
VTRS
ABT
AAL
OGN
LMT
WRK
NEM
CAH
IP
EXC
CNP
PFE
EMR
JNJ
GLW
PPG
PPL
MMM
CEG
MRK
MSI
WBD
FE
CMS
CHD
CINF
WEC
TXT
CTAS
PEG
HAL
XEL
ETR
EVRG
AEP
NEE
EQT
HWM
NOC
AEE
CMA
OKE
CPB
WHR
LHX
F
DOV
DIS
L
K
HPQ
BAX
DUK
PNW
APD
VNO
HES
ALK
BF
OMC
HRL
ATO
MAS
FITB
NUE
OXY
RF
MTB
ROL
SHW
BEN
AJG
WMB
WFC
NI
APA
BDX
WY
DXC
IFF
TJX
CMI
PH
PKI
SJM
JBHT
HBAN
SWK
MCD
VFC
ES
TFX
AVY
ADP
JCI
MMC
SWKS
CLX
GPC
HST
KLAC
JPM
LRCX
MCO
HUM
UNP
LNC
TGT
BK
DHR
LLY
TER
SYY
MKC
RHI
J
EFX
GWW
LEN
HAS
IPG
MU
PHM
WMT
CAG
ITW
BALL
NKE
NDSN
AFL
NTRS
FRT
LUV
LNT
AXP
TAP
UDR
INTC
BAC
TRV
MDT
SNA
PNC
PCAR
LUMN
FDX
ADI
NWL
AMD
LOW
BIO
PAYX
AON
TMO
CSX
GL
WST
BRO
CI
BBWI
NSC
PGR
PSA
D
KEY
AOS
COO
VZ
HCN
T
USB
HD
WDC
AIG
PEAK
MS
RJF
STZ
C
ECL
TFC
STT
SYK
BKR
CCL
SCHW
PXD
ADBE
IEX
GEN
TECH
VTR
EOG
EA
PTC
CSCO
CTRA
HOLX
TYL
PARA
TRMB
AZO
REGN
IDXX
AES
VRTX
ZBRA
BIIB
ODFL
KIM
QCOM
GILD
ROP
SNPS
MHK
BSX
STE
DHI
SBUX
TSN
INTU
MCHP
CB
ORLY
RCL
ALL
CPT
BWA
EQR
UHS
ATVI
IT
REG
NVR
INCY
EMN
SPG
MAA
ALB
MLM
TSCO
CPRT
AVB
ESS
O
COF
MCK
DLTR
ABC
DRI
WAB
DISH
RMD
FCX
ACGL
RE
DVA
POOL
HSIC
NTAP
EL
WAT
HIG
IRM
BRK
FDS
ANSS
ZION
STLD
DGX
ROK
TTWO
ARE
APH
AMZN
QRVO
BXP
RL
AME
VLO
YUM
CHRW
PLD
MTD
ADSK
URI
VRSN
PWR
MAR
BBY
SEE
AMT
SRE
CTSH
RSG
CSGP
CCI
EBAY
NVDA
BKNG
GS
FFIV
JNPR
SBAC
COST
DVN
BLK
AKAM
A
TDY
UPS
PKG
EW
EXPD
MET
MNST
ON
CRL
ISRG
ILMN
TPR
JKHY
GRMN
ALGN
GPN
FIS
MDLZ
WTW
ZBH
ACN
ELV
PFG
AAP
PRU
CNC
NFLX
KMX
CMCSA
WYNN
EQIX
CME
STX
MOH
LKQ
AIZ
NRG
SBNY
CBRE
CRM
DPZ
EXR
GOOGL
DLR
MOS
MKTX
MPWR
LVS
CE
NDAQ
DXCM
EXPE
CF
AMP
ICE
LYV
CMG
UAL
TDG
MA
LDOS
ROST
FSLR
BR
DAL
TMUS
DFS
TEL
ULTA
MSCI
PM
V
AWK
UNH
AVGO
VRSK
DG
FTNT
GNRC
CBOE
TSLA
